model,train_time_s,accuracy,precision,recall,f1,roc_auc
RandomForest_fast,0.2319635000312701,0.9333333333333333,0.9720327421555253,0.8996212121212122,0.9344262295081968,0.9808876191291446
ExtraTrees_fast,0.14871883299201727,0.9286666666666666,0.9672578444747613,0.8952020202020202,0.9298360655737705,0.9742267305826627
LogisticRegression,0.09188224992249161,0.8706666666666667,0.8955026455026455,0.8547979797979798,0.8746770025839793,0.942458661473492
SGD_log_loss,0.13941608392633498,0.858,0.8354577056778679,0.9103535353535354,0.8712990936555891,0.9394358485989842
Dummy_baseline,0.04596841591410339,0.528,0.528,1.0,0.6910994764397905,0.5
